道具ID	道具名称	类型	质量
465006	高阶背饰之心（时效）	3	6
465007	背饰之心碎片	3	4
465008	背饰之心（时效）	3	4
465031	武器进阶石	3	4
465032	中阶武器进阶石	3	5
465033	高阶武器进阶石	3	6
465034	中阶武器进阶石（时效）	3	5
465035	高阶武器进阶石（时效）	3	6
465036	武器进阶石（时效）	3	4
465101	洗髓丹	3	4
465111	神器本源	3	4
465112	中阶神器本源	3	3
465113	高阶神器本源	3	3
465114	神器本源碎片	3	4
465115	神器本源（时效）	3	4
465200	誓约之心	3	4
465201	【魔·牛头马面】将魂	3	3
465202	【魔·骷髅王】将魂	3	3
465203	【仙·东海龙王】将魂	3	7
465204	【仙·嫦娥】将魂	3	4
465205	【仙·潮汐海皇】将魂	3	2
465206	【仙·九天玄女】将魂	3	2
465207	【仙·烛龙】将魂	3	2
465208	【仙·木德星君】将魂	3	2
465209	【仙·巨灵神】将魂	3	2
465210	【仙·火神祝融】将魂	3	7
465211	【仙·水神共工】将魂	3	7
465212	【仙·火神祝融】将魂	3	4
465213	【仙·神武大帝】将魂	3	4
465214	【神·齐天大圣】将魂	3	4
465215	【凡·典韦】将魂	3	3
465216	【凡·张角】将魂	3	3
465217	【魔·痛苦女王】将魂	3	2
465218	【仙·鸿蒙天帝】将魂	3	4
465219	【神·太阳女神】将魂	3	4
465220	【神·恐怖利刃】将魂	3	4
465225	凡灵将魂	3	4
465226	仙灵将魂	3	4
465227	魔灵将魂	3	4
465230	【神·斗战神】将魂	3	7
465290	散财仙子激活卡	4	4
465291	鹊桥仙子激活卡	4	4
465292	百花仙子激活卡	4	4
465293	莹雪仙子激活卡	4	4
465294	锦鲤仙子激活卡	4	4
465299	马震激活卡	4	4
465300	文曲仙子激活卡	4	4
465301	【仙·雷震子】将魂	3	3
465302	【仙·哪咤】将魂	3	3
465303	洛河仙子激活卡	4	4
465304	萤火仙子激活卡	4	4
465305	【魔·刑天】将魂	3	4
465306	【魔·不朽尸王】将魂	3	4
465307	【魔·阎罗王】将魂	3	4
465308	【魔·天妖皇】将魂	3	4
465309	【魔·牛魔王】将魂	3	4
465310	【魔·天鬼皇】将魂	3	4
465311	【凡·孙尚香】将魂	3	2
465312	【凡·貂蝉】将魂	3	4
465313	【凡·孟获】将魂	3	4
465314	【凡·张飞】将魂	3	4
465315	【凡·马超】将魂	3	4
465316	【凡·吕布】将魂	3	4
465317	【凡·赵云】之心	3	6
465318	【凡·诸葛亮】将魂	3	2
465319	【魔·孟婆】将魂	3	2
465320	【魔·混沌魔】将魂	3	4
465321	【魔·魑魅】将魂	3	4
465322	【仙·盘丝大仙】将魂	3	4
465323	【神·红孩儿】将魂	3	4
465324	【神·葫芦小金刚】将魂	3	4
465325	【神·三界神王】将魂	3	4
465326	【神·九五至尊】将魂	3	4
465327	【神·六道魔王】将魂	3	4
465328	【凡·赵云】之魂	3	4
465329	【神·六道神王】将魂	3	4
465351	坐骑升阶丹	4	4
465352	超級坐騎升階丹	4	4
465777	将星之魂	3	4
500001	【时装】踏春无痕(时效)	4	6
500002	【时装】踏春无痕	4	6
500003	【时装】踏春无痕	4	6
500004	【时装】踏春无痕	4	6
500005	【时装】踏春无痕	4	6
500006	【时装】踏春无痕	4	6
500007	【时装】踏春无痕	4	6
500008	【时装】踏春无痕	4	6
500011	【时装】未来战衣(时效)	4	6
500012	【时装】未来战衣	4	6
500013	【时装】未来战衣	4	6
500014	【时装】未来战衣	4	6
500015	【时装】未来战衣	4	6
500016	【时装】未来战衣	4	6
500017	【时装】未来战衣	4	6
500018	【时装】未来战衣	4	6
500101	boss伤害第1礼包.妖姬	4	7
500102	boss伤害第2礼包.妖姬	4	6
500103	boss伤害第3礼包.妖姬	4	5
500104	boss伤害第4礼包.妖姬	4	4
500105	boss伤害第5礼包.妖姬	4	3
500106	普通参与礼包.妖姬	4	2
500201	boss伤害第1礼包.魔帝	4	7
500202	boss伤害第2礼包.魔帝	4	6
500203	boss伤害第3礼包.魔帝	4	5
500204	boss伤害第4礼包.魔帝	4	4
500205	boss伤害第5礼包.魔帝	4	3
500206	普通参与礼包.魔帝	4	2
500301	boss伤害第1礼包.烈焰	4	7
500302	boss伤害第2礼包.烈焰	4	6
500303	boss伤害第3礼包.烈焰	4	5
500304	boss伤害第4礼包.烈焰	4	4
500305	boss伤害第5礼包.烈焰	4	3
500306	普通参与礼包.烈焰	4	2
500401	boss伤害第1礼包.尸皇	4	7
500402	boss伤害第2礼包.尸皇	4	6
500403	boss伤害第3礼包.尸皇	4	5
500404	boss伤害第4礼包.尸皇	4	4
500405	boss伤害第5礼包.尸皇	4	3
500406	普通参与礼包.尸皇	4	2
500501	boss伤害第1礼包.石魔	4	7
500502	boss伤害第2礼包.石魔	4	6
500503	boss伤害第3礼包.石魔	4	5
500504	boss伤害第4礼包.石魔	4	4
500505	boss伤害第5礼包.石魔	4	3
500506	普通参与礼包.石魔	4	2
500999	mycard	1	5
502001	【坐骑】4阶旺财(3天)	4	6
502002	【坐骑】4阶旺财	4	6
502003	【坐骑】5阶旺财	4	6
502004	【坐骑】6阶旺财	4	6
502005	【坐骑】7阶旺财	4	6
502006	【坐骑】8阶旺财	4	6
502007	【坐骑】9阶旺财	4	6
502008	【坐骑】10阶旺财	4	6
502011	【坐骑】4阶天猫(3天)	4	6
502012	【坐骑】4阶天猫	4	6
502013	【坐骑】5阶天猫	4	6
502014	【坐骑】6阶天猫	4	6
502015	【坐骑】7阶天猫	4	6
502016	【坐骑】8阶天猫	4	6
502017	【坐骑】9阶天猫	4	6
502018	【坐骑】10阶天猫	4	6
503001	【宠物】4阶酷羊羊(3天)	4	6
503002	【宠物】4阶酷羊羊	4	6
503003	【宠物】5阶酷羊羊	4	6
503004	【宠物】6阶酷羊羊	4	6
503005	【宠物】7阶酷羊羊	4	6
503006	【宠物】8阶酷羊羊	4	6
503007	【宠物】9阶酷羊羊	4	6
503008	【宠物】10阶酷羊羊	4	6
503011	【宠物】4阶美羊羊(3天)	4	6
503012	【宠物】4阶美羊羊	4	6
503013	【宠物】5阶美羊羊	4	6
503014	【宠物】6阶美羊羊	4	6
503015	【宠物】7阶美羊羊	4	6
503016	【宠物】8阶美羊羊	4	6
503017	【宠物】9阶美羊羊	4	6
503018	【宠物】10阶美羊羊	4	6
503021	【宠物】4阶小海盗(3天)	4	6
503022	【宠物】4阶小海盗	4	6
503023	【宠物】5阶小海盗	4	6
503024	【宠物】6阶小海盗	4	6
503025	【宠物】7阶小海盗	4	6
503026	【宠物】8阶小海盗	4	6
503027	【宠物】9阶小海盗	4	6
503028	【宠物】10阶小海盗	4	6
503031	【宠物】4阶小章鱼(3天)	4	6
503032	【宠物】4阶小章鱼	4	6
503033	【宠物】5阶小章鱼	4	6
503034	【宠物】6阶小章鱼	4	6
503035	【宠物】7阶小章鱼	4	6
503036	【宠物】8阶小章鱼	4	6
503037	【宠物】9阶小章鱼	4	6
503038	【宠物】10阶小章鱼	4	6
504001	【宠物】4阶美羊羊(3天)	4	6
504002	【宠物】4阶美羊羊	4	6
504003	【宠物】5阶美羊羊	4	6
504004	【宠物】6阶美羊羊	4	6
504005	【宠物】7阶美羊羊	4	6
504006	【宠物】8阶美羊羊	4	6
504007	【宠物】9阶美羊羊	4	6
504008	【宠物】10阶美羊羊	4	6
504011	【翅膀】4阶未来之翼(3天)	4	6
504012	【翅膀】4阶未来之翼	4	6
504013	【翅膀】5阶未来之翼	4	6
504014	【翅膀】6阶未来之翼	4	6
504015	【翅膀】7阶未来之翼	4	6
504016	【翅膀】8阶未来之翼	4	6
504017	【翅膀】9阶未来之翼	4	6
504018	【翅膀】10阶未来之翼	4	6
505001	【宠物】4阶美羊羊(3天)	4	6
505002	【宠物】4阶美羊羊	4	6
505003	【宠物】5阶美羊羊	4	6
505004	【宠物】6阶美羊羊	4	6
505005	【宠物】7阶美羊羊	4	6
505006	【宠物】8阶美羊羊	4	6
505007	【宠物】9阶美羊羊	4	6
505008	【宠物】10阶美羊羊	4	6
510001	【武器】踏春无痕(3天)	4	6
510002	【武器】踏春无痕	4	6
510003	【武器】踏春无痕	4	6
510004	【武器】踏春无痕	4	6
510005	【武器】踏春无痕	4	6
510006	【武器】踏春无痕	4	6
510007	【武器】踏春无痕	4	6
510008	【武器】踏春无痕	4	6
520000	facebook分享-巨灵神将魂礼包	4	6
520001	成功邀请10个升至60级的玩家	4	5
520002	成功邀请8个升至80级的玩家	4	6
520003	成功邀请5个升至90级的玩家	4	6
520004	成功邀请3个升至100级的玩家	4	5
520101	智游会员礼包	4	6
520201	智游vip1礼包	4	6
520202	智游vip2礼包	4	6
520203	智游vip3礼包	4	6
520204	智游vip4礼包	4	6
520205	智游vip5礼包	4	6
520206	智游vip6礼包	4	6
520207	智游vip7礼包	4	6
520208	智游vip8礼包	4	6
520209	智游vip9礼包	4	6
520210	智游vip10礼包	4	6
520301	智游贵宾变身卡	4	6
520302	智遊貴賓变身卡.第2周	4	6
520303	智遊貴賓变身卡.第3周	4	6
520304	智遊貴賓变身卡.第4周	4	6
520401	智游至尊贵族礼包	4	6
520402	貴族升階禮包.第2周	4	6
520403	貴族升階禮包.第3周	4	6
520404	貴族升階禮包.第4周	4	6
520501	八折礼包.坐骑	4	4
520502	八折礼包.武器	4	4
520503	八折礼包.战宠	4	4
520504	八折礼包.背饰	4	4
520505	八折礼包.星轮	4	4
520506	八折礼包.神器	4	4
520507	八折礼包.变身	4	4
520601	七折礼包.坐骑	4	4
520602	七折礼包.背饰	4	4
520603	七折礼包.武器	4	4
520604	七折礼包.星轮	4	4
520605	七折礼包.神器	4	4
520606	七折礼包.战宠	4	4
520607	七折礼包.变身	4	4
520701	六折礼包.坐骑	4	4
520702	六折礼包.背饰	4	4
520703	六折礼包.武器	4	4
520704	六折礼包.星轮	4	4
520705	六折礼包.神器	4	4
520706	六折礼包.战宠	4	4
520707	六折礼包.变身	4	4
520801	五折礼包.坐骑	4	4
520802	五折礼包.背饰	4	4
520803	五折礼包.武器	4	4
520804	五折礼包.星轮	4	4
520805	五折礼包.神器	4	4
520806	五折礼包.战宠	4	4
520807	五折礼包.变身	4	4
520901	四折礼包.坐骑	4	4
520902	四折礼包.背饰	4	4
520903	四折礼包.武器	4	4
520904	四折礼包.星轮	4	4
520905	四折礼包.神器	4	4
520906	四折礼包.战宠	4	4
520907	四折礼包.变身	4	4
521001	三折礼包.坐骑	4	4
521002	三折礼包.背饰	4	4
521003	三折礼包.武器	4	4
521004	三折礼包.星轮	4	4
521005	三折礼包.神器	4	4
521006	三折礼包.战宠	4	4
521007	三折礼包.变身	4	4
521101	二折礼包.坐骑	4	4
521102	二折礼包.背饰	4	4
521103	二折礼包.武器	4	4
521104	二折礼包.星轮	4	4
521105	二折礼包.神器	4	4
521106	二折礼包.战宠	4	4
521107	二折礼包.变身	4	4
521201	七折大礼包.坐骑	4	4
521202	七折大礼包.背饰	4	4
521203	七折大礼包.武器	4	4
521204	七折大礼包.星轮	4	4
521205	七折大礼包.神器	4	4
521206	七折大礼包.战宠	4	4
521207	七折大礼包.变身	4	4
521301	六折大礼包.坐骑	4	4
521302	六折大礼包.背饰	4	4
521303	六折大礼包.武器	4	4
521304	六折大礼包.星轮	4	4
521305	六折大礼包.神器	4	4
521306	六折大礼包.战宠	4	4
521307	六折大礼包.变身	4	4
521401	五折大礼包.坐骑	4	4
521402	五折大礼包.背饰	4	4
521403	五折大礼包.武器	4	4
521404	五折大礼包.星轮	4	4
521405	五折大礼包.神器	4	4
521406	五折大礼包.战宠	4	4
521407	五折大礼包.变身	4	4
521501	四折大礼包.坐骑	4	4
521502	四折大礼包.背饰	4	4
521503	四折大礼包.武器	4	4
521504	四折大礼包.星轮	4	4
521505	四折大礼包.神器	4	4
521506	四折大礼包.战宠	4	4
521507	四折大礼包.变身	4	4
521601	三折大礼包.坐骑	4	4
521602	三折大礼包.背饰	4	4
521603	三折大礼包.武器	4	4
521604	三折大礼包.星轮	4	4
521605	三折大礼包.神器	4	4
521606	三折大礼包.战宠	4	4
521607	三折大礼包.变身	4	4
522201	坐骑礼包	4	4
522202	背饰礼包	4	4
522203	武器礼包	4	4
522204	星轮礼包	4	4
522205	神器礼包	4	4
522206	战宠礼包	4	4
522207	变身礼包	4	4
522208	天罡礼包	4	4
530001	紫色裝備包	4	4
530101	80級槍皇裝備包	4	5
530102	80級琴仙裝備包	4	5
530103	80級刀神裝備包	4	5
530201	100級槍皇裝備包	4	5
530202	100級琴仙裝備包	4	5
530203	100級刀神裝備包	4	5
554000	背饰升阶丹（9阶)	1	6
554001	武器升阶丹（9阶)	1	6
554002	坐骑升阶丹（9阶)	4	4
555660	神器升阶丹（6阶)	1	6
555661	星轮升阶丹（6阶)	1	6
555662	战宠升阶丹（6阶)	1	6
555770	神器升阶丹（7阶)	1	6
555771	星轮升阶丹（7阶)	1	6
555772	战宠升阶丹（7阶)	1	6
555880	神器升阶丹（8阶)	1	6
555881	星轮升阶丹（8阶)	1	6
555882	战宠升阶丹（8阶)	1	6
555990	神器升阶丹（9阶)	1	6
555991	星轮升阶丹（9阶)	1	6
555992	战宠升阶丹（9阶)	1	6
590001	5级宝石大礼盒	4	6
590002	中秋储值礼盒	4	6
666666	铜钱	4	4
700001	100点荣誉值	4	4
777777	绑定元宝	4	6
888888	元宝	4	6
900001	元气	4	4
900002	经验	4	2
900003	贡献	4	4
900004	帮派铜钱	4	4
900005	声望	4	4
900006	绑定铜钱	4	4
900007	竞技点	4	4
900008	广寒仙子	4	4
900009	红颜石	4	4
900010	帮派元宝	4	6
900011	荣誉	4	4
900012	军功	4	4
900013	装备升级材料	4	4
900014	攻击装备精炼材料	4	4
900015	防御装备精炼材料	4	4
900016	魔兵	4	4
900017	法宝	4	4
900018	商城道具	4	4
900020	金宝箱	4	6
900021	银宝箱	4	4
900022	40级装备	4	4
900023	60级装备	4	4
900024	80级装备	4	4
900025	100级装备	4	4
900026	120级装备	4	4
900027	140级装备	4	4
900028	160级装备	4	4
900029	180级装备	4	4
900030	200级装备	4	4
999999	铜钱	4	6
20180014	天荒剑魂	2	1
20180015	上界清气	2	1
20180016	祭天圣坛	2	1
20180017	落石车	2	1
20180018	汉军伤员	2	1
20180019	火油罐	2	1
20180020	人首状馒头	2	1
20180021	落水将士	2	1
20180023	生死簿残页	2	1
20180024	幽冥镜	2	1
20180025	皇族信物	2	1
20180026	皇族之血	2	1
20180027	判官笔	2	1
20180028	镇鬼符	2	1
20180029	大叶灌木	2	1
20180030	地府阴气	2	1
20180031	鱼油	2	1
20180032	仙丹残渣	2	1
20180033	土地庙	2	1
20180034	墓碑	2	1
20180035	神梭	2	1
20180036	巨像碎片	2	1
20180037	大鹏卵	2	1
20180038	大叶木	2	1
20180039	陷阱	2	1
20180040	幼兽食盆	2	1
20180041	宓妃和伏羲	2	1
20180042	千年玄冰	2	1
20180043	血迹	2	1
20180044	烽火台	2	1
20180045	冰玉瓶	2	1
20180046	紫晶宝珠	2	1
20180047	梨花钉	2	1
20180048	火焰	2	1
20180049	仙桃枝叶	2	1
20180050	珍珠	2	1
20180051	龙王之剑	2	1
20180052	受伤少女	2	1
20180055	锁仙牢钥匙	2	1
